TYPE,PRICE,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE
Pending,739000,4.0,2182,United States,Kings County,40.5877991,-73.9216187
House for sale,1495000,2.5,3000,United States,Richmond County,40.5247627,-74.1681035
House for sale,3950000,2.0,3528,United States,Kings County,40.6680619,-73.9748375
Condo for sale,325000,1.0,979,New York,New York,40.7897507,-73.9487257
Pending,299999,1.0,2205,New York,New York,40.7810583,-73.9808407
Townhouse for sale,2695000,5.0,4720,United States,New York County,40.8235127,-73.9467514
Pending,4800000,2.5,3958,United States,Kings County,40.6178184,-74.0151165
House for sale,694000,3.0,1360,United States,Richmond County,40.5423126,-74.1555672
House for sale,688888,2.0,2846,United States,Bronx County,40.8726182,-73.8651768
House for sale,400000,2.0,1980,United States,Kings County,40.665357,-73.8770867
Multi-family home for sale,346000,2.0,2202,United States,Queens County,40.6837891,-73.8381042
House for sale,265000,1.0,2188,United States,Queens County,40.67538,-73.7472571
Townhouse for sale,24800000,8.0,2169,United States,New York County,40.772929,-73.9635462
House for sale,1100000,4.0,3276,United States,New York County,40.8307115,-73.9424229
House for sale,650000,2.0,1522,United States,Queens County,40.723245,-73.7293286
House for sale,799000,2.0,1975,United States,Richmond County,40.5387812,-74.193378
House for sale,1195000,4.0,2704,United States,Richmond County,40.5143019,-74.2044734
Condo for sale,17500000,6.0,5499,United States,New York County,40.7143354,-74.0087443
Condo for sale,759000,2.0,1200,New York,Queens,40.7881763,-73.7877051
House for sale,275000,1.0,2170,United States,Kings County,40.6366859,-73.9488175
House for sale,1249000,2.5,2179,United States,Bronx County,40.8822913,-73.9137305
Co-op for sale,69900,1.0,700,United States,Bronx County,40.8224987,-73.8111568
Foreclosure,1749900,4.0,3740,United States,New York County,40.824015,-73.9502067
Condo for sale,649000,2.0,1182,New York,Queens,40.7302938,-73.8059248
House for sale,499000,2.0,1760,United States,Bronx County,40.8663864,-73.8878945
Multi-family home for sale,1050000,4.0,3132,United States,Bronx County,40.8176549,-73.8197053
Townhouse for sale,5000000,9.0,6425,United States,New York County,40.7832598,-73.976047
Pending,90000,1.0,660,United States,Richmond County,40.574451,-74.0929448
House for sale,56000000,10.0,24000,United States,New York County,40.7616,-73.9761913
Condo for sale,500000,3.0,1794,New York,New York,40.7905714,-73.9753392
House for sale,350000,1.0,490,United States,Richmond County,40.5731273,-74.089182
House for sale,1099000,2.0,2189,United States,Queens County,40.5595612,-73.9147409
Co-op for sale,90000,1.0,450,New York,The Bronx,40.8423705,-73.9234444
House for sale,839000,2.0,2205,United States,Queens County,40.6590909,-73.8451972
House for sale,659000,3.0,2185,United States,Queens County,40.688533,-73.796529
House for sale,399999,1.0,2206,United States,Queens County,40.5950021,-73.7577376
Condo for sale,250000,1.0,2195,New York,Brooklyn,40.5997081,-73.9344974
For sale,1740000,2.0,1132,United States,New York County,40.7986579,-73.9679035
House for sale,650000,2.0,2244,United States,Queens County,40.6968706,-73.7390395
House for sale,1165000,4.0,3500,United States,Richmond County,40.5397292,-74.2155251
House for sale,729900,2.0,1150,United States,Richmond County,40.5302132,-74.1981906
House for sale,1880000,4.0,3150,United States,Kings County,40.5805262,-74.0061062
Co-op for sale,449000,2.0,1549,New York,Queens,40.7577991,-73.7159564
House for sale,995000,2.0,2207,United States,Queens County,40.657686,-73.8489131
Condo for sale,2000000,2.0,2000,New York County,Manhattan,40.7086444,-74.0161953
Townhouse for sale,15000000,6.0,2185,United States,Kings County,40.6948972,-73.9925741
House for sale,2600000,4.0,3024,United States,Queens County,40.7780417,-73.7739629
Townhouse for sale,3500000,6.0,6000,United States,New York County,40.8229141,-73.9460622
Co-op for sale,550000,1.0,2161,New York,New York,40.7887084,-73.9700091
Pending,769000,4.0,2174,United States,Richmond County,40.6291962,-74.1518654
