TYPE,PRICE,BATH,PROPERTYSQFT,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE
Multi-family home for sale,889000,2.0,2280,United States,Bronx County,40.8368581,-73.8449273
House for sale,825000,2.0,1820,United States,Kings County,40.6163169,-73.9981652
Multi-family home for sale,599999,2.0,3490,United States,Kings County,40.6649303,-73.8670719
Townhouse for sale,10999000,7.0,2169,United States,New York County,40.7836212,-73.9759437
House for sale,2750000,2.5,2200,United States,Bronx County,40.8930548,-73.9067416
House for sale,649000,2.0,1064,United States,Kings County,40.6215026,-73.9066372
Multi-family home for sale,989000,5.0,3960,United States,Bronx County,40.8807579,-73.8418489
Condo for sale,357000,1.0,1100,New York,The Bronx,40.8389829,-73.8601515
Co-op for sale,119888,1.0,2165,New York,Queens,40.7582228,-73.8559216
Multi-family home for sale,1099999,2.0,2185,United States,Bronx County,40.8135939,-73.8019007
House for sale,749000,1.0,2189,United States,Queens County,40.7236718,-73.8030548
Multi-family home for sale,589999,2.0,1680,United States,Richmond County,40.6314894,-74.1348461
Multi-family home for sale,6995000,20.0,12492,United States,New York County,40.7368035,-73.9864789
Townhouse for sale,22500000,6.0,8725,United States,New York County,40.7669348,-73.9701575
House for sale,749000,2.0,1332,United States,Richmond County,40.6155772,-74.1364517
Condo for sale,499000,2.0,1156,New York,Queens,40.6726721,-73.8496745
House for sale,859000,3.0,2208,United States,Queens County,40.71176,-73.753743
Pending,599999,2.0,2169,New York,Brooklyn,40.5887895,-73.9452357
House for sale,899000,2.0,1324,United States,Kings County,40.6055237,-73.9143161
House for sale,1999999,2.5,5301,United States,Richmond County,40.6071393,-74.097086
House for sale,950000,3.0,1746,United States,Queens County,40.7107548,-73.7320869
Townhouse for sale,13950000,6.0,6798,United States,New York County,40.736891,-73.985669
House for sale,1399000,3.0,3375,United States,Queens County,40.6491159,-73.8389887
House for sale,1618000,2.0,2200,United States,Kings County,40.6148883,-73.9078973
Pending,485000,3.0,2175,United States,Bronx County,40.8781862,-73.8523657
Multi-family home for sale,1100000,2.0,1928,United States,Richmond County,40.5142085,-74.2505102
Townhouse for sale,3995000,8.0,5046,United States,New York County,40.80059,-73.97071
Co-op for sale,659000,1.0,440,New York,Brooklyn,40.6867525,-73.996485
Condo for sale,319000,2.0,1102,United States,Bronx County,40.806951,-73.853401
Multi-family home for sale,999000,3.0,3168,United States,Bronx County,40.8474641,-73.9177608
Co-op for sale,249000,1.0,500,New York,New York,40.8717961,-73.916064
Townhouse for sale,8950000,6.0,6336,United States,New York County,40.7437415,-73.978774
Multi-family home for sale,1100000,3.0,1916,United States,Kings County,40.6183626,-73.9260392
House for sale,1275000,4.0,2380,United States,Richmond County,40.5393625,-74.214287
House for sale,689000,2.0,750,United States,Kings County,40.5817208,-73.9645608
Townhouse for sale,3995000,6.0,2171,United States,Kings County,40.6799381,-73.9764616
House for sale,395000,2.0,1089,United States,Bronx County,40.807051,-73.853819
House for sale,1250000,2.0,2273,United States,Bronx County,40.8976524,-73.9019402
Townhouse for sale,2500000,4.0,2201,United States,New York County,40.741725,-73.9786641
House for sale,1350000,2.0,2948,United States,Bronx County,40.8548137,-73.8500157
House for sale,929000,2.5,2200,United States,Richmond County,40.5592121,-74.1263587
Multi-family home for sale,34000000,8.0,2202,United States,New York County,40.7433901,-73.9973776
Multi-family home for sale,1550000,6.0,2199,United States,Kings County,40.5757051,-74.0098832
Co-op for sale,265000,1.0,2169,New York,New York,40.8003865,-73.9443376
House for sale,879000,2.5,1630,United States,Queens County,40.7282179,-73.8032584
Land for sale,1200000,2.5,2193,United States,New York County,40.797735,-73.933806
Townhouse for sale,7500000,2.0,4250,United States,New York County,40.77551,-73.957627
House for sale,755000,2.0,2166,United States,Queens County,40.7565607,-73.7796734
Co-op for sale,325000,2.0,2162,New York,The Bronx,40.8890553,-73.9033819
Co-op for sale,1395000,1.0,2166,New York,New York,40.7134524,-74.0070904
House for sale,649000,2.0,980,United States,Richmond County,40.5434215,-74.174846
Multi-family home for sale,999998,4.0,2720,United States,Richmond County,40.5862681,-74.1585168
Multi-family home for sale,1358000,3.0,2204,United States,Kings County,40.6871306,-73.9215141
House for sale,1650000,4.0,2166,United States,Bronx County,40.8806865,-73.9157055
Co-op for sale,680000,1.0,2161,New York,Brooklyn,40.6915357,-73.9956516
Co-op for sale,258888,1.0,650,New York,Brooklyn,40.617279,-74.0267532
Townhouse for sale,660000,2.5,1283,United States,Bronx County,40.851494,-73.8492232
Co-op for sale,300000,1.0,2203,New York,New York,40.7719231,-73.955157
Townhouse for sale,318888,2.0,1270,United States,Richmond County,40.6384591,-74.1646633
Co-op for sale,330000,2.0,2172,New York,New York,40.7595774,-73.964779
Condo for sale,747000,1.0,747,New York,New York,40.7942099,-73.9636725
House for sale,699000,2.0,2182,United States,Queens County,40.7037872,-73.8752532
Co-op for sale,875000,1.0,2167,New York,New York,40.7769649,-73.9769247
Co-op for sale,385000,2.0,1100,New York,The Bronx,40.8827696,-73.9148245
Co-op for sale,349000,1.0,1017,New York,Queens,40.5781687,-73.8586706
House for sale,968000,2.0,1344,United States,Queens County,40.7309404,-73.8683812
Condo for sale,569000,2.0,2181,New York,Queens,40.7332174,-73.8448704
Condo for sale,238000,1.0,650,New York,Staten Island,40.6109595,-74.060351
Multi-family home for sale,1200000,6.0,5712,United States,Queens County,40.7023326,-73.8891107
Co-op for sale,4995000,3.0,2203,New York,New York,40.7910972,-73.9748583
Condo for sale,472000,1.0,700,New York,Queens,40.73531,-73.8812513
Condo for sale,472000,1.0,700,New York,Queens,40.73531,-73.8812513
House for sale,598000,2.0,1144,United States,Bronx County,40.87796,-73.9011666
House for sale,1085000,3.0,1200,United States,Kings County,40.618311,-73.997597
Multi-family home for sale,680000,2.0,1535,United States,Kings County,40.6713695,-73.869277
Condo for sale,200000,2.5,637,United States,Bronx County,40.8389649,-73.8613485
Co-op for sale,210000,1.0,1000,New York,Queens,40.734848,-73.8232512
Multi-family home for sale,999000,3.0,2178,United States,Kings County,40.6207744,-73.9055089
Multi-family home for sale,1799000,1.0,5400,New York,Staten Island,40.5767317,-74.1187369
Townhouse for sale,1900000,5.0,5000,United States,New York County,40.8082842,-73.9412356
House for sale,519000,2.0,1200,United States,Queens County,40.651735,-73.830298
House for sale,728900,1.0,960,United States,Richmond County,40.6163157,-74.1248333
Co-op for sale,549000,1.0,2179,United States,Queens County,40.7201292,-73.8398387
Pending,2300000,2.5,4346,United States,Richmond County,40.5274146,-74.179841
Co-op for sale,299999,2.0,1300,New York,Queens,40.7808597,-73.7834998
Pending,1800000,4.0,2832,United States,Kings County,40.6331671,-73.9597006
Co-op for sale,1195000,2.0,2160,New York,New York,40.7361476,-73.9955368
Co-op for sale,200000,1.0,2173,New York,Queens,40.7304899,-73.8735933
Pending,2300000,2.5,4346,United States,Richmond County,40.5274146,-74.179841
Pending,1800000,4.0,2832,United States,Kings County,40.6331671,-73.9597006
Condo for sale,599000,2.0,1095,New York,Brooklyn,40.5784256,-73.9853674
Pending,7500000,4.0,3050,United States,Kings County,40.6883185,-73.9686154
Multi-family home for sale,1059000,3.0,2203,United States,Kings County,40.6830732,-73.8797396
House for sale,1288888,4.0,1672,United States,Richmond County,40.6069525,-74.1016936
Multi-family home for sale,1299999,4.0,3448,United States,Kings County,40.6259736,-73.9141206
House for sale,1399999,2.0,2700,United States,Richmond County,40.5116874,-74.2388187
Co-op for sale,232500,1.0,2162,New York,Queens,40.7121373,-73.8277084
House for sale,639000,2.0,862,United States,Kings County,40.6175251,-73.9255226
House for sale,950000,4.0,2060,United States,Queens County,40.7884912,-73.8515778
Condo for sale,12500000,2.0,4000,New York,New York,40.7217614,-74.0013329
Co-op for sale,430000,1.0,2202,New York,Queens,40.7472542,-73.8978152
Co-op for sale,279000,1.0,1400,United States,Bronx County,40.8563536,-73.865974
House for sale,1725000,2.0,1508,United States,Kings County,40.6208655,-74.036863
Multi-family home for sale,1698000,4.0,3620,United States,Richmond County,40.5357703,-74.1849822
House for sale,438000,2.0,1354,United States,Richmond County,40.5628043,-74.1853825
Co-op for sale,100000,1.0,512,New York,Queens,40.6042895,-73.7478287
Co-op for sale,299000,1.0,2183,New York,Queens,40.7490984,-73.8849909
Condo for sale,625000,2.0,995,New York,Queens,40.7780359,-73.7808993
Co-op for sale,699999,2.0,2206,New York,Brooklyn,40.6672186,-73.9566539
Co-op for sale,529000,1.0,2208,New York,New York,40.7371253,-73.9806613
House for sale,599000,2.0,1208,United States,Queens County,40.6892122,-73.8634426
Co-op for sale,279900,1.0,900,New York,The Bronx,40.8301222,-73.9202611
Co-op for sale,165000,1.0,875,New York,The Bronx,40.8994229,-73.8706379
Co-op for sale,270000,1.0,2189,New York,Brooklyn,40.6047809,-73.9920476
Condo for sale,625000,1.0,825,New York,Queens,40.744346,-73.957101
Co-op for sale,279900,1.0,900,New York,The Bronx,40.8301222,-73.9202611
Multi-family home for sale,580000,2.0,1780,United States,Kings County,40.5874424,-73.9675716
Condo for sale,979000,2.0,1272,New York,Brooklyn,40.6295982,-74.0275565
Co-op for sale,269000,1.0,2184,New York,New York,40.8099353,-73.9377818
Co-op for sale,499000,2.0,2161,New York,New York,40.7762825,-73.9453865
House for sale,1699888,3.0,2275,United States,Queens County,40.6556445,-73.848959
House for sale,3100000,4.0,2180,United States,Queens County,40.6021451,-73.7401761
House for sale,499000,2.0,1752,United States,Bronx County,40.8717268,-73.9050847
Co-op for sale,245000,1.0,900,New York,Brooklyn,40.6014996,-73.9324298
Townhouse for sale,5800000,5.0,6360,United States,Kings County,40.6884736,-73.9747288
Co-op for sale,425000,1.0,450,New York,New York,40.7464807,-74.0018835
House for sale,799000,2.0,2340,United States,Richmond County,40.5887913,-74.1444799
Co-op for sale,3695000,2.0,1697,New York,New York,40.7246503,-73.9960912
Pending,3100000,2.5,3600,United States,Queens County,40.7956412,-73.8246757
Condo for sale,719000,2.0,2182,New York,Queens,40.7964178,-73.8058096
Co-op for sale,169000,1.0,2200,New York,Queens,40.7205894,-73.8359422
Co-op for sale,99000,1.0,850,New York,The Bronx,40.83645,-73.924271
Multi-family home for sale,888000,4.0,2201,United States,Kings County,40.6741308,-73.8908415
Multi-family home for sale,1308888,3.0,2178,United States,Queens County,40.7836228,-73.8141298
Condo for sale,558000,1.0,751,New York,Brooklyn,40.619526,-74.0311577
Co-op for sale,429000,2.0,1450,Bronx County,Riverdale,40.8868607,-73.9129726
House for sale,499900,1.0,1040,United States,Richmond County,40.6281869,-74.1606727
Co-op for sale,429000,2.0,1450,Bronx County,Riverdale,40.8868607,-73.9129726
Multi-family home for sale,2489000,4.0,2334,United States,Kings County,40.671985,-73.9889397
Condo for sale,255500,1.0,950,New York,Staten Island,40.6077498,-74.0743086
House for sale,30000000,2.5,6000,United States,New York County,40.7371772,-74.0024577
Multi-family home for sale,1090000,3.0,2166,United States,Queens County,40.7922364,-73.8405165
Multi-family home for sale,471300,2.0,2175,United States,Kings County,40.6629386,-73.8878146
House for sale,1089000,2.0,1720,United States,Kings County,40.6275081,-74.018889
Townhouse for sale,9950000,10.0,8000,United States,New York County,40.7369927,-73.9868876
Co-op for sale,295000,1.0,950,United States,Queens County,40.6778447,-73.7335012
Co-op for sale,399000,2.0,1050,New York,Brooklyn,40.5776924,-73.9737314
Co-op for sale,329000,1.0,2185,New York,Queens,40.739059,-73.9229803
House for sale,639000,2.0,1856,United States,Richmond County,40.5774962,-74.1181004
Contingent,750000,4.0,1240,United States,Richmond County,40.5546832,-74.1780566
House for sale,499999,2.0,1763,United States,Richmond County,40.6175808,-74.0858322
Co-op for sale,560000,2.0,2182,New York,Queens,40.7223099,-73.84153
Townhouse for sale,1268000,2.0,1513,United States,Queens County,40.7240812,-73.8521227
Co-op for sale,129000,1.0,2199,New York,Queens,40.7104509,-73.7982064
Co-op for sale,888000,2.0,1600,New York,Queens,40.724514,-73.8458441
Multi-family home for sale,2100000,8.0,7200,United States,Kings County,40.6330213,-74.0274188
House for sale,2900000,2.5,6707,United States,Richmond County,40.6000344,-74.1064235
House for sale,3200000,4.0,2950,United States,Kings County,40.6286854,-74.0372417
House for sale,1175000,2.0,1192,United States,Kings County,40.6369819,-74.0276787
Land for sale,160000,2.5,2186,United States,Queens County,40.7066981,-73.7439122
House for sale,2950000,5.0,5436,United States,Kings County,40.6037688,-73.9113665
Condo for sale,354900,1.0,673,New York,Brooklyn,40.6343667,-74.0311335
Condo for sale,580000,2.0,2190,United States,Queens County,40.7510826,-73.8738365
Condo for sale,530000,1.0,538,United States,Kings County,40.5954596,-73.9968422
House for sale,551000,2.5,2182,United States,Kings County,40.6214749,-73.932287
Townhouse for sale,14800000,10.0,2198,United States,New York County,40.7345123,-73.9874441
Condo for sale,475000,1.0,1296,United States,Richmond County,40.5527755,-74.1539297
Condo for sale,995000,2.0,2200,New York,New York,40.7974456,-73.9620195
Co-op for sale,650000,1.0,2168,New York,New York,40.7582795,-73.9624506
Co-op for sale,250000,1.0,2179,New York,Queens,40.700309,-73.8535466
Co-op for sale,2200000,3.0,2195,New York,New York,40.7904197,-73.966175
House for sale,639000,2.0,2190,United States,Kings County,40.6214608,-73.905805
House for sale,2050000,6.0,5600,United States,Richmond County,40.5856353,-74.1068594
Co-op for sale,279000,2.0,1050,United States,Bronx County,40.898666,-73.8738365
House for sale,669000,2.0,1312,United States,Richmond County,40.6013797,-74.1380964
Townhouse for sale,6700000,4.0,3740,United States,New York County,40.7918625,-73.9667605
Multi-family home for sale,681000,3.0,2188,United States,Kings County,40.6648825,-73.8826911
Multi-family home for sale,530000,2.0,1672,United States,Richmond County,40.6268626,-74.1476451
Condo for sale,1700000,2.0,1580,New York,Brooklyn,40.6763522,-73.9543474
Co-op for sale,339000,1.0,1085,New York,Brooklyn,40.6171201,-74.0385203
Co-op for sale,189000,1.0,700,New York,The Bronx,40.906568,-73.8968047
Co-op for sale,48000000,2.5,2206,New York,New York,40.7707516,-73.9645283
Co-op for sale,4995000,2.0,2164,New York,New York,40.7737635,-73.9644574
House for sale,999999,2.0,1198,New York,New York,40.7803429,-73.947266
Pending,349750,1.0,2172,New York,Brooklyn,40.6585622,-73.9825211
Co-op for sale,385000,1.0,2203,United States,New York County,40.8522694,-73.939181
Townhouse for sale,7950000,2.0,3397,United States,New York County,40.7319485,-74.0025061
Pending,324900,2.0,1100,New York,The Bronx,40.9057959,-73.90002
Co-op for sale,175000,1.0,2194,New York,Brooklyn,40.6329634,-73.9709274
Multi-family home for sale,915999,3.0,2160,United States,Queens County,40.7618985,-73.8758538
Condo for sale,40000000,6.0,7488,New York,New York,40.715351,-74.0128441
Pending,324900,2.0,1100,New York,The Bronx,40.9057959,-73.90002
Co-op for sale,175000,1.0,800,New York,The Bronx,40.8742949,-73.883753
Townhouse for sale,5995000,4.0,4000,United States,Kings County,40.6868209,-73.9988226
Co-op for sale,480000,1.0,2192,New York,Queens,40.7291499,-73.84944
House for sale,4200000,4.0,4480,United States,New York County,40.788437,-73.9731887
House for sale,1848000,2.5,3676,United States,Kings County,40.6386251,-73.9591955
Co-op for sale,285000,1.0,750,New York,Brooklyn,40.6195811,-73.9706361
Multi-family home for sale,849000,3.0,2460,United States,Queens County,40.5939428,-73.7748361
Co-op for sale,729000,2.0,1700,New York,Queens,40.7577991,-73.7159564
House for sale,4900000,2.5,9000,United States,Bronx County,40.8983076,-73.9020849
Multi-family home for sale,600000,2.0,1728,United States,Bronx County,40.896179,-73.839487
House for sale,599000,1.0,1340,United States,Queens County,40.6860975,-73.7998859
Multi-family home for sale,599000,2.0,2268,United States,Kings County,40.6835248,-73.9141078
Multi-family home for sale,1295000,2.0,2600,United States,Kings County,40.609816,-73.9084026
House for sale,529000,1.0,1800,United States,Queens County,40.7212998,-73.7544395
Multi-family home for sale,1550000,7.0,3000,United States,Richmond County,40.5083446,-74.2299349
Co-op for sale,319000,1.0,2185,New York,Queens,40.7230399,-73.85628
Co-op for sale,245000,1.0,260,New York,New York,40.748134,-73.9708805
Co-op for sale,319000,1.0,2196,New York,Queens,40.7230399,-73.85628
Multi-family home for sale,999900,2.0,2024,United States,Kings County,40.6101839,-74.009209
House for sale,395000,1.0,666,United States,Richmond County,40.5724498,-74.0909716
Condo for sale,620000,1.0,430,New York,New York,40.7774399,-73.9793101
Multi-family home for sale,1295000,2.5,3264,United States,Richmond County,40.5389259,-74.195072
Co-op for sale,8995000,4.0,5500,New York,New York,40.7442721,-73.9907621
Condo for sale,2995000,2.0,1452,New York,New York,40.7803919,-73.9558923
House for sale,675000,2.0,1222,United States,Richmond County,40.6277171,-74.0860272
Condo for sale,999000,1.0,600,New York,New York,40.7717454,-73.9900505
House for sale,649999,2.0,2196,United States,Queens County,40.6670008,-73.7409018
Townhouse for sale,10995000,6.0,9000,United States,New York County,40.7858802,-73.9811894
House for sale,1075000,2.0,2200,United States,Kings County,40.6141979,-73.9591151
Co-op for sale,174000,1.0,800,New York,Brooklyn,40.5997081,-73.9344974
House for sale,1193000,2.0,1518,United States,Richmond County,40.5839283,-74.1113788
House for sale,4995000,4.0,2199,United States,Kings County,40.6712943,-73.9771145
House for sale,898000,4.0,2828,United States,Kings County,40.6816001,-73.8948525
House for sale,1749999,4.0,2600,United States,Richmond County,40.595688,-74.0982331
Condo for sale,575000,2.0,1253,New York,Queens,40.5824866,-73.8213437
Condo for sale,5100000,2.0,2183,United States,New York County,40.7408109,-73.998475
Condo for sale,2000000,2.0,1321,New York,New York,40.7159753,-74.0083683
Co-op for sale,170000,1.0,850,New York,The Bronx,40.8813916,-73.8757001
Co-op for sale,1295000,2.0,2100,New York,Brooklyn,40.702334,-73.9937463
Multi-family home for sale,1848000,4.0,3640,United States,Kings County,40.607214,-73.9998636
Co-op for sale,298999,1.0,2208,United States,Queens County,40.7317712,-73.739171
Co-op for sale,209900,1.0,780,New York,Brooklyn,40.586901,-73.932949
Co-op for sale,539000,1.0,2177,New York,Brooklyn,40.6419847,-73.9614428
House for sale,2975000,2.0,2187,United States,Kings County,40.674276,-73.9626129
Multi-family home for sale,2099000,5.0,2200,United States,Queens County,40.7308373,-73.8599677
Co-op for sale,789000,1.0,2207,New York,New York,40.7707244,-73.9533267
House for sale,919000,2.0,1565,United States,Kings County,40.6335949,-73.9678166
House for sale,815599,2.0,2169,United States,Kings County,40.6254509,-73.9395115
Co-op for sale,289999,1.0,830,New York,The Bronx,40.8799897,-73.919862
Co-op for sale,4050000,3.0,2184,New York,New York,40.7822029,-73.959633
Townhouse for sale,7750000,2.5,3375,United States,Kings County,40.629467,-73.994672
Multi-family home for sale,1998000,3.0,3192,United States,Kings County,40.631406,-74.0193512
Condo for sale,680000,2.0,1058,New York,Queens,40.7942255,-73.7950678
House for sale,1299000,2.0,2190,United States,Kings County,40.6147583,-73.9849887
Condo for sale,845000,2.0,2162,New York,Queens,40.7095418,-73.8286658
Co-op for sale,899000,2.0,1300,New York,Brooklyn,40.620502,-74.0396973
House for sale,758888,1.0,2193,United States,Queens County,40.7676985,-73.7850344
Co-op for sale,650000,1.0,2202,New York,New York,40.798761,-73.9721556
Co-op for sale,169000,1.0,850,New York,Queens,40.7106599,-73.7986899
Multi-family home for sale,1350000,3.0,2166,United States,Queens County,40.728555,-73.8780858
Co-op for sale,695000,2.0,2184,New York,Queens,40.7507718,-73.8890157
Multi-family home for sale,1499000,2.0,2280,United States,Kings County,40.6852121,-73.9131299
Co-op for sale,169000,1.0,850,New York,Queens,40.7106599,-73.7986899
Pending,395000,2.5,381,New York,Brooklyn,40.7028922,-73.9860614
Co-op for sale,445000,1.0,2207,10017,New York,40.7488491,-73.9716161
Townhouse for sale,499000,2.0,1400,United States,Richmond County,40.633314,-74.145909
Co-op for sale,449000,1.0,2208,New York,New York,40.7568629,-73.9621341
House for sale,649000,2.0,1120,United States,Richmond County,40.5694974,-74.1237437
Co-op for sale,335000,1.0,756,New York,Brooklyn,40.6273371,-74.0262024
Multi-family home for sale,980000,4.0,3068,United States,Bronx County,40.8129128,-73.8461841
House for sale,688000,2.0,1344,United States,Kings County,40.5773399,-73.9943294
Multi-family home for sale,679000,3.0,2196,United States,Kings County,40.6398004,-73.8974592
Pending,999888,2.0,1900,United States,Queens County,40.7701584,-73.8052147
Co-op for sale,375000,1.0,500,New York,New York,40.7581216,-73.9670704
House for sale,848724,2.0,2185,United States,Queens County,40.7511112,-73.9089639
Condo for sale,568000,2.0,1253,New York,Queens,40.5828044,-73.8210807
Multi-family home for sale,1153000,2.5,3980,United States,Richmond County,40.5078915,-74.2530332
Multi-family home for sale,2399000,5.0,2197,United States,Queens County,40.7693956,-73.7708144
Townhouse for sale,899000,2.0,1400,United States,Queens County,40.7368055,-73.9026152
Co-op for sale,169000,1.0,2206,New York,Queens,40.7759232,-73.9087334
House for sale,449999,3.0,1217,United States,Richmond County,40.6329023,-74.120945
Foreclosure,886545,4.0,2116,United States,Queens County,40.6719007,-73.8590006
Townhouse for sale,495000,2.0,1280,United States,Richmond County,40.6396483,-74.1151985
House for sale,875000,3.0,2129,United States,Queens County,40.7474641,-73.704456
Condo for sale,849000,1.0,720,New York,New York,40.761427,-73.982584
Pending,299999,1.0,650,New York,Brooklyn,40.657696,-73.8764091
Contingent,459000,1.0,1188,United States,Richmond County,40.5019991,-74.2372284
House for sale,399998,2.0,1252,United States,Richmond County,40.6171678,-74.0837135
Condo for sale,9500000,4.0,3655,New York,Brooklyn,40.7046228,-73.9878238
House for sale,650000,2.0,1482,United States,Kings County,40.6503361,-73.9440072
House for sale,880000,4.0,2100,United States,Richmond County,40.551314,-74.1670026
House for sale,1350000,3.0,2082,United States,Queens County,40.7284032,-73.7803984
Condo for sale,599000,2.0,2191,New York,Queens,40.7517561,-73.8344347
Co-op for sale,225000,1.0,2199,New York,Queens,40.7664499,-73.78359
Co-op for sale,220000,1.0,2166,New York,New York,40.8590729,-73.9322176
Co-op for sale,289000,1.0,2180,New York,The Bronx,40.8563536,-73.865974
Pending,350000,1.0,2204,New York,New York,40.8099146,-73.9379084
House for sale,1350000,3.0,2082,United States,Queens County,40.7284032,-73.7803984
House for sale,880000,4.0,2100,United States,Richmond County,40.551314,-74.1670026
House for sale,719999,2.0,2166,United States,Queens County,40.754545,-73.859675
Condo for sale,1100000,1.0,807,New York,Brooklyn,40.709905,-73.962869
Multi-family home for sale,1699999,3.0,2754,United States,Kings County,40.681189,-73.9146606
House for sale,3400000,6.0,6290,United States,Bronx County,40.8969575,-73.9032123
Land for sale,250000,2.5,2166,United States,Bronx County,40.8453241,-73.8684042
Co-op for sale,299000,1.0,2197,New York,New York,40.8718895,-73.9188667
House for sale,1288000,2.5,2198,United States,Queens County,40.7886657,-73.8207928
Condo for sale,3345000,2.0,1875,New York,New York,40.7194435,-74.0081022
House for sale,575000,2.0,1604,United States,Kings County,40.6740009,-73.8743074
Co-op for sale,775000,1.0,2190,New York,New York,40.7845412,-73.981249
Land for sale,250000,2.5,2196,United States,Bronx County,40.8453241,-73.8684042
Condo for sale,3345000,2.0,1875,New York,New York,40.7194435,-74.0081022
House for sale,3400000,6.0,6290,United States,Bronx County,40.8969575,-73.9032123
House for sale,575000,2.0,1604,United States,Kings County,40.6740009,-73.8743074
House for sale,897888,2.0,1260,United States,Queens County,40.7292895,-73.8945367
Multi-family home for sale,1198000,5.0,2205,United States,Queens County,40.6811645,-73.7493264
House for sale,2100000,3.0,3512,United States,Queens County,40.7974719,-73.8143638
Co-op for sale,230000,1.0,2166,New York,Queens,40.7670699,-73.74642
Condo for sale,750000,2.0,1027,New York,New York,40.7929253,-73.9404138
Co-op for sale,775000,1.0,2162,New York,New York,40.7845412,-73.981249
Co-op for sale,7495000,4.0,2171,New York,New York,40.775111,-73.958515
House for sale,698888,2.0,1440,United States,Richmond County,40.571472,-74.1193966
Condo for sale,850000,1.0,626,New York,Brooklyn,40.7322099,-73.9535842
Townhouse for sale,2999999,3.0,2800,United States,Kings County,40.6736636,-73.9623858
Multi-family home for sale,1149999,3.0,2187,United States,Queens County,40.7320002,-73.7055812
Townhouse for sale,2025000,2.0,1500,United States,Kings County,40.6756128,-74.0124872
Townhouse for sale,2695000,2.0,1950,United States,Kings County,40.7135237,-73.942354
Co-op for sale,192500,1.0,2183,New York,The Bronx,40.878087,-73.9170513
Co-op for sale,395000,1.0,550,New York,New York,40.7867652,-73.9753353
Co-op for sale,699000,1.0,800,New York,New York,40.7896573,-73.9673229
Multi-family home for sale,649000,2.0,2183,United States,Queens County,40.5974508,-73.7983993
Condo for sale,668000,2.0,2168,New York,Queens,40.7046248,-73.8349003
Townhouse for sale,5500000,6.0,5925,United States,New York County,40.806166,-73.9448308
House for sale,1680000,1.0,3536,United States,New York County,40.8186279,-73.9460737
Co-op for sale,1650000,2.0,1000,New York,New York,40.7385868,-74.0078404
Condo for sale,6750000,3.0,3000,New York,New York,40.7476234,-74.0057263
House for sale,580000,3.0,2940,United States,Kings County,40.6609696,-73.9111929
Townhouse for sale,700000,2.0,2266,United States,Kings County,40.6430292,-73.9248566
House for sale,550000,2.0,1410,United States,Richmond County,40.5882303,-74.0975793
Townhouse for sale,315000,2.0,1344,United States,Richmond County,40.6364,-74.154146
Condo for sale,1695000,2.0,1117,New York,Brooklyn,40.7169665,-73.94377
Co-op for sale,385000,1.0,2187,New York,Brooklyn,40.649346,-74.0086998
Townhouse for sale,2000000,3.0,3024,United States,New York County,40.808174,-73.951091
Co-op for sale,249999,1.0,750,New York,Brooklyn,40.6152328,-73.9176941
House for sale,749000,2.0,2162,United States,Bronx County,40.821432,-73.8474428
House for sale,220000,2.5,1396,United States,Kings County,40.628358,-73.9339729
House for sale,998000,2.0,2182,United States,Queens County,40.7593442,-73.7673557
Multi-family home for sale,1150000,6.0,4125,United States,Kings County,40.702987,-73.9273005
House for sale,799999,4.0,2288,United States,Richmond County,40.5546818,-74.1625533
Co-op for sale,395000,1.0,2209,New York,New York,40.734266,-73.9987024
Co-op for sale,329888,1.0,2204,New York,Queens,40.7790999,-73.78125
Co-op for sale,311000,1.0,780,New York,Brooklyn,40.5756277,-73.9667833
Condo for sale,649000,2.0,804,New York,Brooklyn,40.7031635,-73.9282437
Co-op for sale,159000,1.0,800,New York,The Bronx,40.8697508,-73.905391
Co-op for sale,669000,2.0,1480,United States,Kings County,40.5894827,-73.9395372
Co-op for sale,339000,2.0,906,United States,Bronx County,40.8224723,-73.81106
Condo for sale,849500,2.0,975,New York,New York,40.7946402,-73.9434163
Contingent,379000,1.0,1200,New York,Staten Island,40.6384907,-74.0740254
Condo for sale,699000,2.0,967,New York,Queens,40.7684458,-73.8313888
Co-op for sale,565000,1.0,2180,New York,New York,40.776443,-73.979985
Pending,750000,3.0,2166,United States,Queens County,40.6921975,-73.7287999
Multi-family home for sale,1250000,3.0,3234,United States,Bronx County,40.8473243,-73.8633392
Condo for sale,999000,2.0,1262,New York,New York,40.834716,-73.9481517
House for sale,1350000,4.0,2171,United States,Queens County,40.5997298,-73.7467974
House for sale,669900,2.0,1376,United States,Queens County,40.7077562,-73.7787888
Pending,779000,3.0,2000,United States,Queens County,40.6857875,-73.7538304
Multi-family home for sale,1200000,2.0,2165,United States,Kings County,40.590395,-73.9412863
Co-op for sale,895000,1.0,2169,New York,New York,40.7669715,-73.9674377
Condo for sale,369000,1.0,2183,New York,Brooklyn,40.637981,-74.009565
House for sale,988000,2.0,3244,United States,Kings County,40.6548876,-73.9275423
Co-op for sale,279000,1.0,810,New York,Queens,40.7365683,-73.7763893
Co-op for sale,285000,1.0,2202,New York,New York,40.7772709,-73.9477614
House for sale,988000,3.0,1311,United States,Queens County,40.7615431,-73.8621447
Co-op for sale,2950000,2.0,2195,New York,New York,40.7267495,-73.9938034
Co-op for sale,899000,1.0,2162,New York,New York,40.7661581,-73.985324
